id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4670197414499720,Kts9DiSA8,拾起散落的光，照亮彼此前行的路。很开心这次在#央视七夕晚会# 献唱由我创作的#电视剧舍我其谁# 的主题曲之一《拾光》，梦想带领我们携爱前行吧~ 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/g7prFHXllx07P1A4ZClO01041200MOjG0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914894&ssig=GXyPCvu2Ii&KID=unistore,video",,2021-08-14,微博视频号,1883,312,189,"央视七夕晚会,电视剧舍我其谁",,2021-08-14 20:48:14
4670073363235438,KtoVydzGu,#央视七夕晚会# 今晚19:30，我在CCTV-3央视七夕晚会 ，与你共度《拾光》，不见不散哦 ,,https://wx1.sinaimg.cn/large/001ks5QYgy1gtg7ic7vc5j62653uw4qq02.jpg,,,2021-08-14,iPhone 12 Pro Max,845,140,34,央视七夕晚会,,2021-08-14 12:35:17
4669733108454420,Ktg4KztnC,#七夕花式比心大赛# 七夕不仅意味着爱情，也寄托着中华民族对于星空的无限憧憬和浪漫。“今宵七夕夜，遥望银河情”，在同一片灿烂星汉下遥相比心吧！ ,,https://wx2.sinaimg.cn/large/001ks5QYgy1gtf4hzz02gj60uf0u078p02.jpg,,,2021-08-13,iPhone 12 Pro Max,895,164,54,七夕花式比心大赛,,2021-08-13 14:03:15
4663686041965501,KqILq8fjD,昨天到达，并已卸货，绿色通道，争分夺秒！ 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/8E1nhuVglx07OyVci91m01041200dtKg0E010.mp4?label=mp4_720p&template=720x1540.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914894&ssig=5yKWOZF94Y&KID=unistore,video",,2021-07-27,微博视频号,765,104,44,,,2021-07-27 21:34:22
4656641045169929,KnLuwlGVX,《斩妖行》完整版上线啦！我为@斩妖行 演唱了印象曲《斩草歌》，这是一首国风国潮的新歌～通过音乐的方式来展现提剑斩妖、人间百态的游戏世界。这次和@ilemonyk 的合作非常开心期待《斩草歌》以及《斩妖行》都能得到大家的喜欢！喜欢的话请多多支持～#萨顶顶新歌斩草歌# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/dHYjGiL3lx07O35EzhPy01041201HPrM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914894&ssig=S8rSRJvCsn&KID=unistore,video",,2021-07-08,微博视频号,1075,191,182,萨顶顶新歌斩草歌,"斩妖行,ilemonyk",2021-07-08 11:00:04
4652045255314064,KlPVXmiqI,#道途#由我发起并推出的《疗愈音乐实验室计划》首发专辑《道途》，欢迎大家试听~于我而言，音乐是疗愈人心的灵药。这并不是一张商业的唱片，但希望给失眠、难过、沮丧……中的朋友们带来自然声音的力量，从消极的状态中走出并恢复。很开心和田不疚老师共同开发这张专辑~感谢音乐里所有有识之士的到来，共同走上道途！我和我的音乐伙伴们也将继续在这条路上发现并探索……田不疚 道途,,,,,2021-06-25,网易云音乐,491,77,57,道途,,2021-06-25 18:38:02
4647611548567819,KjYAOzWSD,#萨顶顶新歌鸿音# 很高兴这次能和@逆水寒 合作，我了解到“鸿音”手持玲珑琵琶，在千年荒漠中弹奏一曲梵音，刚接触的时候就很期待能做一些大胆尝试。有人说听我唱歌会“掀翻天灵盖”，这次听歌时请捂好天灵盖或者带好帽子哦 如果喜欢这首歌记得分享给亲友哦，也可以去逆水寒里了解更多鸿音的神秘故事。 萨顶顶的微博视频,,,"https://f.video.weibocdn.com/v4b1GAislx07Nq5kJ8gM010412023VPT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BThihd3VLAY5R&Expires=1655914895&ssig=OCnwLdNaqj&KID=unistore,video",,2021-06-13,微博视频号,3039,515,643,萨顶顶新歌鸿音,逆水寒,2021-06-13 13:00:04
4642665239681283,KhTUTECxJ,恭贺《金面王朝》焕新首演！👏👏👏基于三星堆文化背景的舞台艺术创作弘扬展现了中国文化渊源和文化自信！我有幸作为本剧全新版的音乐总监、音乐制作人及作曲在过去的五个月里带领团队努力创作，我们用当代的音乐语汇重温了中华古文明的辉煌，感谢所有台前幕后的工作人员感谢总导演杨乐和君看文化的所有同仁👏👏👏@北京欢乐谷 #金面王朝5.28焕新回归# 北京·四惠,,"https://wx3.sinaimg.cn/large/001ks5QYly1gr0rj56cjtj66ue1w97ws02.jpg,https://wx2.sinaimg.cn/large/001ks5QYly1gr0rj1fq23j63pi0xc7wl02.jpg,https://wx4.sinaimg.cn/large/001ks5QYly1gr0rjassxcj67rt2bche802.jpg,https://wx2.sinaimg.cn/large/001ks5QYly1gr0rje2w5fj63860xc7wk02.jpg,https://wx1.sinaimg.cn/large/001ks5QYly1gr0rjf9m56j62bc1avnpe02.jpg,https://wx3.sinaimg.cn/large/001ks5QYly1gr0rjgnb7qj63q423ghdu02.jpg,https://wx4.sinaimg.cn/large/001ks5QYly1gr0rjjmfl4j62bc1awkjq02.jpg,https://wx3.sinaimg.cn/large/001ks5QYly1gr0rjla5g4j62bc1jlu1002.jpg,https://wx1.sinaimg.cn/large/001ks5QYly1gr0rjlvqy2j62560zob2902.jpg",,北京·四惠,2021-05-30,iPhone 12 Pro Max,726,95,44,金面王朝5.28焕新回归,北京欢乐谷,2021-05-30 21:25:12
4628047108248108,KbLDgyBI0,#长歌行萨顶顶唱走了多少人# 我不生产盒饭，我只是盒饭搬运工~今晚8点腾讯视频看长歌 @Dear-迪丽热巴 继续行，听我继续唱 ,,"https://wx2.sinaimg.cn/large/001ks5QYly1gpq4z0tm62j60ku0kutc302.jpg,https://wx2.sinaimg.cn/large/001ks5QYly1gpq4z0gqe2j60dw0dw79q02.jpg",,,2021-04-20,iPhone 12 Pro Max,60022,2471,1940,长歌行萨顶顶唱走了多少人,Dear-迪丽热巴,2021-04-20 13:17:58
4621623481862997,K94wA7OEl,没想到这次能玩得这么开心，或许这就是#百变大咖秀# 的魅力吧！今晚十点锁定@湖南卫视 要不要来听我再唱一次《左手指月》 ,,https://wx4.sinaimg.cn/large/001ks5QYly1gp5n8cpy94j618a26r4qq02.jpg,,,2021-04-02,iPhone 12 Pro Max,802,168,36,百变大咖秀,湖南卫视,2021-04-02 19:52:46
4621291757765725,K8VTxwAdD,#电视剧长歌行##长歌行眼神唐韵海报# 听弦断，断那三千痴缠。 ,,https://wx2.sinaimg.cn/large/001ks5QYly1gp4l4v75t8j66qo3si7wk02.jpg,,,2021-04-01,iPhone 12 Pro Max,1763,115,44,"电视剧长歌行,长歌行眼神唐韵海报",,2021-04-01 21:54:37
4621165165022925,K8SBml4GV,《长歌行》昨晚  22:30开始播出啦🤗剧中我经纪人付老师饰演的突厥使者炻辛思力，第一集突厥使者访唐就出现了这模特儿步走出了六亲不认的豪横 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/FX0TmS7Alx07LxLS9GqQ01041200fbXz0E010.mp4?label=mp4_720p&template=960x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914896&ssig=ttuerCx%2F%2FM&KID=unistore,video",,2021-04-01,微博视频号,1065,82,15,,,2021-04-01 13:31:35
4612559901298467,K5gJU5rN1,所有的女性朋友们在今天团结起来，让我们一起向快乐出发，祝大家快乐永相随 ,,https://wx4.sinaimg.cn/large/001ks5QYly1gocqaohzhpj60jf0blq4o02.jpg,,,2021-03-08,iPhone 12 Pro Max,752,114,29,,,2021-03-08 19:37:20
4603385162241954,K1q3W9pey,左手指月除夕夜，九歌问天若归来。祝朋友们牛年大吉！身体健康！吉祥如意！牛气冲天！春节好啊！ ,,https://wx3.sinaimg.cn/large/001ks5QYly1gnjgkn2xg4j60m90w8ths02.jpg,,,2021-02-11,iPhone 12 Pro Max,2903,326,329,,,2021-02-11 12:00:12
4599050194652779,JFyKnjwoP,很高兴受邀参加今年的B站#百大UP主颁奖#晚会，我和UP主们为大家准备了精彩舞台。今晚六点，快来戳 网页链接  点击预约，提前锁定哔哩哔哩弹幕网直播间吧~。我和#B站百大UP主# 等你！ ,,"https://wx4.sinaimg.cn/large/001ks5QYly1gn5mq2ggnxj61rq16hu0x02.jpg,https://wx4.sinaimg.cn/large/001ks5QYly1gn5mq2ye7tj61z41be1kx02.jpg,https://wx4.sinaimg.cn/large/001ks5QYly1gn5mq20dxpj61a61xae8102.jpg",,,2021-01-30,iPhone 12 Pro Max,795,126,49,"百大UP主颁奖,B站百大UP主",,2021-01-30 12:54:34
4591138680608443,JCeVS2yhB,我来了，新年新气象2021坚持一周营业一次，这是我的flag ,,https://wx1.sinaimg.cn/large/001ks5QYly1gmgdu7azcoj6190280qv502.jpg,,,2021-01-08,iPhone 12 Pro Max,1963,354,88,,,2021-01-08 16:57:03
4590126229622039,JBOASEn8b,  萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/THbUUrLjlx07Jl9NpVX201041201WjK40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914907&ssig=awWhNnXlQ9&KID=unistore,video",,2021-01-05,微博视频号,1247,264,193,,,2021-01-05 21:53:56
4589976232137560,JBKGX8Y4M,#萨顶顶海底# 往海的深处听~ 我的声音在指引~ 我改编的这首《海底》有没有让你感受到大海的空灵？今晚18:00完整版MV上线 ，@梦幻西游电脑版 不见不散 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/rgFDehc0lx07JkuQbtp601041200usmI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914907&ssig=F%2BAog7Pr6f&KID=unistore,video",,2021-01-05,微博视频号,1757,275,200,萨顶顶海底,梦幻西游电脑版,2021-01-05 11:57:54
